date,datetime,,1/1/2000 0:00
6771.5,7/15/2020 12:00,,
6802.5,8/15/2020 12:00,,
6833,9/15/2020 0:00,,
6863.5,10/15/2020 12:00,,
6894,11/15/2020 0:00,,
6924.5,12/15/2020 12:00,,
6955.5,1/15/2021 12:00,,
6985,2/14/2021 0:00,,
7014.5,3/15/2021 12:00,,
7045,4/15/2021 0:00,,
7075.5,5/15/2021 12:00,,
7106,6/15/2021 0:00,,
7136.5,7/15/2021 12:00,,
7167.5,8/15/2021 12:00,,
7198,9/15/2021 0:00,,
7228.5,10/15/2021 12:00,,
7259,11/15/2021 0:00,,
7289.5,12/15/2021 12:00,,
7320.5,1/15/2022 12:00,,
7350,2/15/2022 0:00,,
7379.5,3/16/2022 12:00,,
7410,4/16/2022 0:00,,
7440.5,5/16/2022 12:00,,
7471,6/16/2022 0:00,,
7501.5,7/16/2022 12:00,,
7532.5,8/16/2022 12:00,,
7563,9/16/2022 0:00,,
7593.5,10/16/2022 12:00,,
7624,11/16/2022 0:00,,
7654.5,12/16/2022 12:00,,
7685.5,1/16/2023 12:00,,
7715,2/15/2023 0:00,,
7744.5,3/16/2023 12:00,,
7775,4/16/2023 0:00,,
7805.5,5/16/2023 12:00,,
7836,6/16/2023 0:00,,
7866.5,7/16/2023 12:00,,
7897.5,8/16/2023 12:00,,
7928,9/16/2023 0:00,,
7958.5,10/16/2023 12:00,,
7989,11/16/2023 0:00,,
