GAGEID,COMID,svc_sd,xgb_sd,NUSVR_alpha,NuSVR_beta,GP_alpha,GP_beta,Jan_NN,Feb_NN,March_NN,April_NN,May_NN,June_NN,July_NN,Aug_NN,Sept_NN,Oct_NN,Nov_NN,Dec_NN,NN_td,Jan_XT,Feb_XT,March_XT,April_XT,May_XT,June_XT,July_XT,Aug_XT,Sept_XT,Oct_XT,Nov_XT,Dec_XT,XT_td,Jan_RF,Feb_RF,March_RF,April_RF,May_RF,June_RF,July_RF,Aug_RF,Sept_RF,Oct_RF,Nov_RF,Dec_RF,RF_td
4213650,71039303,3,3,0.035511751,0.194188527,0.035511751,0.194188527,0,0,0,0,0,1,1,1,1,1,1,1,6,1,0,0,0,1,1,1,1,1,1,1,1,8,1,0,0,0,1,1,1,1,1,1,1,1,8
4115305,78013968,1,1,1.650163139,0.063342485,1.650163139,0.063342485,1,0,0,0,0,1,1,1,1,1,1,1,7,1,1,0,0,0,1,1,1,1,1,1,1,8,1,1,0,0,0,1,1,1,1,1,1,1,8
4115301,78013800,1,1,1.328461056,0.065981107,1.328461056,0.065981107,1,0,0,0,1,1,1,1,1,1,1,1,8,1,1,0,0,1,1,1,1,1,1,1,1,9,1,1,0,0,1,1,1,1,1,1,1,1,9
4115300,78013810,1,1,1.408003152,0.067065986,1.408003152,0.067065986,1,0,0,0,1,1,1,1,1,1,1,1,8,1,1,0,0,1,1,1,1,1,1,1,1,9,1,1,0,0,1,1,1,1,1,1,1,1,9
4010500,72035311,1,1,1.425716425,0.149567795,1.425716425,0.149567795,0,0,0,0,0,1,1,1,1,1,0,0,5,0,0,0,0,0,1,1,1,1,1,0,0,5,0,0,0,0,1,1,1,1,1,1,0,0,6
2135200,73011076,3,3,1.844224438,0.100509037,1.844224438,0.100509037,1,0,0,0,0,0,1,1,1,1,1,1,6,1,0,0,0,0,0,1,1,1,1,1,1,6,1,0,0,0,0,0,1,1,1,1,1,1,6
1196413,12067731,1,1,0.227061783,0.150378045,0.227061783,0.150378045,1,1,1,1,1,0,0,0,0,0,1,1,6,0,0,1,1,1,1,0,0,0,0,0,0,4,0,0,1,1,1,1,0,0,0,0,0,0,4
1160788,12087262,0,0,0.178997833,0.2013277,0.178997833,0.2013277,0,1,1,1,1,0,0,0,0,0,0,1,4,1,0,0,0,1,1,0,0,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,1,1,2
1160617,12096592,1,1,0.148087614,0.142425124,0.148087614,0.142425124,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,1,1,1,0,0,0,0,0,0,3
1160300,12096765,0,0,0.093898882,0.295193511,0.093898882,0.295193511,0,0,1,1,1,1,1,0,0,0,0,0,5,0,1,1,1,1,1,1,0,0,0,0,0,6,0,0,1,1,1,1,1,0,0,0,0,0,5
1160265,12097146,0,0,0.082365117,0.290044646,0.082365117,0.290044646,0,0,1,1,1,1,1,0,0,0,0,0,5,0,0,1,1,1,1,1,0,0,0,0,0,5,0,0,1,1,1,1,1,0,0,0,0,0,5
1160263,12099563,0,0,0.129066195,0.30241384,0.129066195,0.30241384,0,0,1,1,1,1,1,0,0,0,0,0,5,0,1,1,1,1,1,1,0,0,0,0,0,6,0,1,1,1,1,1,1,0,0,0,0,0,6
1160245,12097196,0,0,0.10694716,0.314852725,0.10694716,0.314852725,0,0,1,1,1,1,1,0,0,0,0,0,5,0,1,1,1,1,1,1,0,0,0,0,0,6,0,0,1,1,1,1,1,0,0,0,0,0,5
1160230,12098785,0,0,0.050838908,0.273166095,0.050838908,0.273166095,0,0,1,1,1,1,1,1,0,0,0,0,6,0,0,1,1,1,1,1,0,0,0,0,0,5,0,0,1,1,1,1,1,0,0,0,0,0,5
1159413,12081003,1,1,0.032448269,0.286843132,0.032448269,0.286843132,0,1,1,1,1,0,0,0,0,0,0,0,4,0,1,1,1,1,1,0,0,0,0,0,0,5,0,1,1,1,1,1,0,0,0,0,0,0,5
1251,12059510,1,1,0.050718368,0.215561167,0.050718368,0.215561167,1,1,1,0,0,1,1,1,1,1,1,1,9,1,1,1,0,0,1,1,1,1,1,1,1,9,1,1,1,0,0,1,1,1,1,1,1,1,9
